mountain,route_id,route_name,order_index,name,altitude,distance,time,water
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",1,"Pos 1 Watu Omah",1414,0.63,20,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",2,"Pos 2 Watu Jajar",1487,0.30,10,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",3,"Pos Watu Srumpuk",1584,0.41,20,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",4,"Pos 4 Kolo Keciko",1751,0.43,30,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",5,"Pos 5 Tanjakan Cinta",1890,0.50,30,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",6,"Puncak Bondolan (camp)",1885,0.80,30,
"Gunung Ungaran",1,"Gunung Ungaran via Perantunan",7,"Puncak Botak",2050,0.40,25,
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",1,"Pos 1 Bedengan",1410,0.85,25,1
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",2,"Pos 2 Kinatar",1460,0.60,20,1
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",3,"Pos Pronojiwo",1520,0.50,15,1
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",4,"Pos 4 Bukak’an",1700,0.80,45,
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",5,"Pos 5 Tedeng",1880,0.60,40,
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",6,"Puncak Tanggul Angin",1876,0.40,20,
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",7,"Puncak Batu",1908,0.50,25,
"Gunung Ungaran",2,"Gunung Ungaran via Mawar",8,"Puncak Banteng Raider",2050,0.30,15,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",1,"Pos 1 Lembah Lempong",1555,0.20,5,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",2,"Pos 2 Bendera",2186,2.00,135,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",3,"Pos Air Tengah Jalur",2665,1.10,165,1
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",4,"Pos 3 Dampo Awang",2740,0.20,20,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",5,"Puncak Suwanting",3105,1.10,75,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",6,"Puncak Triangulasi",3142,0.25,15,
"Gunung Merbabu",3,"Gunung Merbabu via Suwanting",7,"Puncak Kenteng Songo",3142,0.15,5,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",1,"Pos 1 Dok Malang",2189,1.50,90,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",2,"Simpang Macan",2270,0.50,45,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",3,"Pos 2 Pandean",2412,0.40,40,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",4,"Pos 3 Batu Tulis",2595,0.60,40,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",5,"Sabana 1",2750,0.60,60,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",6,"Sabana 2",2850,0.30,30,
"Gunung Merbabu",4,"Gunung Merbabu via Selo",7,"Puncak Triangulasi / Kenteng Songo",3142,1.00,90,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",1,"Merbabu Pass (Pintu Hutan)",1858,1.00,20,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",2,"Pos 1 Tegal Arum",2117,1.10,75,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",3,"Pos 2 Wekas / Kidang Kencana",2480,1.40,105,1
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",4,"Pos 3 Watu Kumpul",2821,0.80,50,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",5,"Tugu Perbatasan Kabupaten",2847,0.10,15,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",6,"Pertigaan Helipad & Geger Sapi",3002,0.60,25,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",7,"Puncak Syarif & Ondo Rante",3119,0.40,20,
"Gunung Merbabu",5,"Gunung Merbabu via Wekas",8,"Puncak Kenteng Songo",3142,0.50,45,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",1,"Pos 1 Lintas Kebun",1700,1.00,45,1
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",2,"Pos 2 Gerbang Cendani",2050,0.85,75,1
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",3,"Pos 3 Sabarnak",2361,1.10,75,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",4,"Pos 4 Lempong Sampan",2847,0.46,40,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",5,"Watu Gubuk (Puncak 1)",2860,0.71,50,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",6,"Puncak Pemancar (Puncak 2)",2880,0.50,30,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",7,"Puncak Geger Sapi (Puncak 3)",3002,0.46,40,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",8,"Puncak Syarif (Puncak 4)",3137,0.50,60,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",9,"Puncak Ondo Rante (Puncak 5)",3140,0.30,20,
"Gunung Merbabu",6,"Gunung Merbabu via Thekelan",10,"Puncak Kenteng Songo & Triangulasi (Pk. 6 & 7)",3142,0.60,55,
"Gunung Merbabu",7,"Gunung Merbabu via Gancik",1,"Pos 1 Hutan",2050,1.50,90,
"Gunung Merbabu",7,"Gunung Merbabu via Gancik",2,"Pos 2 Merapi View",2100,1.00,60,
"Gunung Merbabu",7,"Gunung Merbabu via Gancik",3,"Pos 3 Join Selo",2400,0.80,60,
"Gunung Merbabu",7,"Gunung Merbabu via Gancik",4,"Sabana 1 & 2",2850,1.00,90,
"Gunung Merbabu",7,"Gunung Merbabu via Gancik",5,"Puncak Triangulasi / Kenteng Songo",3142,1.00,105,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",1,"Pos 1 Pondok Gembirung",1937,2.00,120,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",2,"Pos 2 Pondok Walang",2256,0.75,90,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",3,"Pos 3 Pondok Cemara",2510,0.70,70,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",4,"Pos 4 Samarantu",2688,0.60,60,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",5,"Pos 5 Samyang Rangkah",2792,0.33,30,1
"Gunung Slamet",8,"Gunung Slamet via Bambangan",6,"Pos 6 Samyang Ketebonan",2909,0.40,45,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",7,"Pos 7 Samyang Kendit",2990,0.40,60,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",8,"Pos 8 Samyang Jampang",3142,0.40,45,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",9,"Pos 9 Plawangan",3150,0.10,30,
"Gunung Slamet",8,"Gunung Slamet via Bambangan",10,"Puncak Gunung Slamet",3428,500.00,120,
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",1,"Pos 1 Blakbak",1680,3.50,120,1
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",2,"Pos 2 Rimpakan",2011,1.50,105,
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",3,"Pos 3 Selo Pethak",2369,1.40,75,
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",4,"Pos 4 Ranu Amreta",2438,1.50,50,1
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",5,"Pos 5 Watu Ireng / Pondok Cantigi / Plawangan",2868,2.00,120,
"Gunung Slamet",9,"Gunung Slamet via Permadi Guci",6,"Puncak Salam Permadi & Puncak Surono",3428,1.30,135,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",1,"Pos 1 Wadas Gantung",1768,,90,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",2,"Pos 2 Pondok Syahang",2000,,90,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",3,"Pos 3 Pondok Pasang",2300,,45,1
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",4,"Pos 4 Pondok Ihing / Mata Air",2600,,60,1
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",5,"Pos 5 Puncak Gunung Malang",2800,,45,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",6,"Pos 6 Pondok Tanganan",2750,,10,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",7,"Pos 7 Plawangan",3100,,60,
"Gunung Slamet",10,"Gunung Slamet via Gunung Malang",8,"Puncak Gunung Slamet",3428,,120,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",1,"Pos 1 Mbah Branti",1702,1.50,120,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",2,"Pos 2 Brakseng",1914,1.00,90,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",3,"Pos 3 CemoroDowo",2251,0.70,120,1
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",4,"Pos 4 Penggik",2550,1.00,120,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",5,"Pos 5 Bulak Peperangan",2861,1.20,120,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",6,"Gupak Menjangan",2952,0.80,60,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",7,"Pasar Dieng",3104,1.00,90,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",8,"Hargo Dalem",3142,0.40,45,
"Gunung Lawu",11,"Gunung Lawu via Candi Cetho",9,"Puncak Hargo Dumillah",3265,0.50,60,
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",1,"Pos 1 Taman Sari Bawah",2237,,90,
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",2,"Pos 2 Taman Sari Atas",2470,,90,
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",3,"Pos 3 Penggik / Ompak-ompakan",2700,,120,1
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",4,"Pos 4 Cokro Suryo / Ondho Rante",3000,,90,
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",5,"Pos 5 Cokro Buwono",3150,,45,
"Gunung Lawu",12,"Gunung Lawu via Cemoro Kandang",6,"Hargo Dalem",3142,,15,
